_varname,value,se,t_stat
"mean_k1",.1177825,,
"mean_k2",.0506076,,
"mean_k3",.1831454,,
"mean_k4",.0864456,,
"mean_k5",1.657995,,
"mean_k6",.3061129,,
"mean_k7",.6879562,,
"mean_k8",-.2230721,,
"mean_k9",.5737817,,
"mean_k10",1.718666,,
"mean_k11",-.7756088,,
"mean_k12",.982496,,
"eta_c_p",.2555359,.0189832,13.46116
"pi",.1504083,,
"beta",0,,
"eta_h1_w1",.8243312,.0737042,11.18431
"eta_h2_w2",.8321371,.0841296,9.891129
"eta_c_w1",.1468345,.0211759,6.934029
"eta_h1_p",-.1137043,.016398,-6.934029
"eta_c_w2",.0653914,.0181125,3.610302
"eta_h2_p",-.1032507,.0285989,-3.610302
"eta_h1_w2",.3907571,.0216178,18.07571
"eta_h2_w1",.7967658,.0440794,18.07571
"s_report",.7078251,0,
"s_u1_1",.0284265,.0065039,4.370696
"s_u1_2",.0284265,.0065039,4.370696
"s_u1_3",.0284265,.0065039,4.370696
"s_u1_4",.0284265,.0065039,4.370696
"s_u1_5",.0284265,.0065039,4.370696
"s_v1_1",.0746361,.0058752,12.70366
"s_v1_2",.0746361,.0058752,12.70366
"s_v1_3",.0746361,.0058752,12.70366
"s_v1_4",.0746361,.0058752,12.70366
"s_v1_5",.0746361,.0058752,12.70366
"s_u2_1",.0129032,.005869,2.198546
"s_u2_2",.0129032,.005869,2.198546
"s_u2_3",.0129032,.005869,2.198546
"s_u2_4",.0129032,.005869,2.198546
"s_u2_5",.0129032,.005869,2.198546
"s_v2_1",.0767935,.0052564,14.60947
"s_v2_2",.0767935,.0052564,14.60947
"s_v2_3",.0767935,.0052564,14.60947
"s_v2_4",.0767935,.0052564,14.60947
"s_v2_5",.0767935,.0052564,14.60947
"r_u1u2_1",.0059812,.0028083,2.129811
"r_u1u2_2",.0059812,.0028083,2.129811
"r_u1u2_3",.0059812,.0028083,2.129811
"r_u1u2_4",.0059812,.0028083,2.129811
"r_u1u2_5",.0059812,.0028083,2.129811
"r_v1v2_1",.0032168,.0027726,1.160207
"r_v1v2_2",.0032168,.0027726,1.160207
"r_v1v2_3",.0032168,.0027726,1.160207
"r_v1v2_4",.0032168,.0027726,1.160207
"r_v1v2_5",.0032168,.0027726,1.160207
"r_u1",0,,
"r_u2",0,,
"r_v1",0,,
"r_v2",0,,
"s_omega",.0332327,.0016537,20.09631
"observations",7295,,
