_varname,value,se,t_stat
"mean_k1",.0752685,,
"mean_k2",.1137042,,
"mean_k3",.0411351,,
"mean_k4",.0992042,,
"mean_k5",1.371647,,
"mean_k6",.2794749,,
"mean_k7",.3683754,,
"mean_k8",-.1395628,,
"mean_k9",.5374078,,
"mean_k10",1.355008,,
"mean_k11",-.6961731,,
"mean_k12",.8396426,,
"eta_c_p",.1907288,.0151837,12.56138
"pi",.1504083,,
"beta",0,,
"eta_h1_w1",.4639927,.0860684,5.390976
"eta_h2_w2",.4182705,.0556343,7.518212
"eta_c_w1",.1020696,.0152725,6.683231
"eta_h1_p",-.0790397,.0118266,-6.68323
"eta_c_w2",.1271003,.0162846,7.804938
"eta_h2_p",-.2006869,.0257128,-7.804938
"eta_h1_w2",.3256325,.0249601,13.0461
"eta_h2_w1",.6639748,.0508945,13.0461
"s_report",.7078251,0,
"s_u1_1",.0284265,.0065039,4.370696
"s_u1_2",.0284265,.0065039,4.370696
"s_u1_3",.0284265,.0065039,4.370696
"s_u1_4",.0284265,.0065039,4.370696
"s_u1_5",.0284265,.0065039,4.370696
"s_v1_1",.0746361,.0058752,12.70366
"s_v1_2",.0746361,.0058752,12.70366
"s_v1_3",.0746361,.0058752,12.70366
"s_v1_4",.0746361,.0058752,12.70366
"s_v1_5",.0746361,.0058752,12.70366
"s_u2_1",.0129032,.005869,2.198546
"s_u2_2",.0129032,.005869,2.198546
"s_u2_3",.0129032,.005869,2.198546
"s_u2_4",.0129032,.005869,2.198546
"s_u2_5",.0129032,.005869,2.198546
"s_v2_1",.0767935,.0052564,14.60947
"s_v2_2",.0767935,.0052564,14.60947
"s_v2_3",.0767935,.0052564,14.60947
"s_v2_4",.0767935,.0052564,14.60947
"s_v2_5",.0767935,.0052564,14.60947
"r_u1u2_1",.0059812,.0028083,2.129811
"r_u1u2_2",.0059812,.0028083,2.129811
"r_u1u2_3",.0059812,.0028083,2.129811
"r_u1u2_4",.0059812,.0028083,2.129811
"r_u1u2_5",.0059812,.0028083,2.129811
"r_v1v2_1",.0032168,.0027726,1.160207
"r_v1v2_2",.0032168,.0027726,1.160207
"r_v1v2_3",.0032168,.0027726,1.160207
"r_v1v2_4",.0032168,.0027726,1.160207
"r_v1v2_5",.0032168,.0027726,1.160207
"r_u1",0,,
"r_u2",0,,
"r_v1",0,,
"r_v2",0,,
"s_omega",.0332327,.0016537,20.09631
"observations",7295,,
