_varname,value,se,t_stat
"mean_k1",-.1745001,,
"mean_k2",-.1292691,,
"mean_k3",.2558197,,
"mean_k4",.1216917,,
"mean_k5",1.594115,,
"mean_k6",.2871734,,
"mean_k7",.77077,,
"mean_k8",-.192558,,
"mean_k9",.5301591,,
"mean_k10",1.753044,,
"mean_k11",-.6633136,,
"mean_k12",1.057661,,
"eta_c_p",.2629263,.0318033,8.267279
"pi",.1504083,,
"beta",0,,
"eta_h1_w1",.739203,.0734444,10.06479
"eta_h2_w2",.864342,.0889048,9.722107
"eta_c_w1",-.2245103,.033349,-6.732141
"eta_h1_p",.173854,.0258245,6.732141
"eta_c_w2",-.1556165,.026908,-5.783271
"eta_h2_p",.2457129,.0424868,5.783271
"eta_h1_w2",.3636118,.0206403,17.61659
"eta_h2_w1",.7414157,.0420862,17.61659
"s_report",.7078251,0,
"s_u1_1",.0392557,.0089816,4.370696
"s_u1_2",.0392557,.0089816,4.370696
"s_u1_3",.0392557,.0089816,4.370696
"s_u1_4",.0392557,.0089816,4.370696
"s_u1_5",.0392557,.0089816,4.370696
"s_v1_1",.0746361,.0058752,12.70366
"s_v1_2",.0746361,.0058752,12.70366
"s_v1_3",.0746361,.0058752,12.70366
"s_v1_4",.0746361,.0058752,12.70366
"s_v1_5",.0746361,.0058752,12.70366
"s_u2_1",.0178187,.0081047,2.198546
"s_u2_2",.0178187,.0081047,2.198546
"s_u2_3",.0178187,.0081047,2.198546
"s_u2_4",.0178187,.0081047,2.198546
"s_u2_5",.0178187,.0081047,2.198546
"s_v2_1",.0767935,.0052564,14.60947
"s_v2_2",.0767935,.0052564,14.60947
"s_v2_3",.0767935,.0052564,14.60947
"s_v2_4",.0767935,.0052564,14.60947
"s_v2_5",.0767935,.0052564,14.60947
"r_u1u2_1",.0082598,.0038782,2.129811
"r_u1u2_2",.0082598,.0038782,2.129811
"r_u1u2_3",.0082598,.0038782,2.129811
"r_u1u2_4",.0082598,.0038782,2.129811
"r_u1u2_5",.0082598,.0038782,2.129811
"r_v1v2_1",.0032168,.0027726,1.160207
"r_v1v2_2",.0032168,.0027726,1.160207
"r_v1v2_3",.0032168,.0027726,1.160207
"r_v1v2_4",.0032168,.0027726,1.160207
"r_v1v2_5",.0032168,.0027726,1.160207
"r_u1",0,,
"r_u2",0,,
"r_v1",0,,
"r_v2",0,,
"s_omega",.0332327,.0016537,20.09631
"observations",7295,,
