_varname,value,se,t_stat
"mean_k1",-.13630565,,
"mean_k2",-.03707745,,
"mean_k3",.31581115,,
"mean_k4",.18686545,,
"mean_k5",1.5788074,,
"mean_k6",.10888444,,
"mean_k7",.92003019,,
"mean_k8",-.21722377,,
"mean_k9",.1687878,,
"mean_k10",1.8806704,,
"mean_k11",-.75261151,,
"mean_k12",1.4245987,,
"eta_c_p",.41647544,.06746189,6.1734918
"pi",.15040835,,
"beta",0,,
"eta_h1_w1",.68122861,.07123755,9.5627741
"eta_h2_w2",.95781027,.09447579,10.138156
"eta_c_w1",-.16212842,.03413568,-4.7495298
"eta_h1_p",.1255474,.02643365,4.7495298
"eta_c_w2",-.04982189,.02997501,-1.6621145
"eta_h2_p",.07866701,.04732948,1.6621145
"eta_h1_w2",.15943289,.02063201,7.7274533
"eta_h2_w1",.32508861,.04206931,7.7274533
"s_report",.7078251,0,
"s_u1_1",.04310637,.01286384,3.350973
"s_u1_2",.01631862,.01158815,1.4082157
"s_u1_3",.03637423,.01525054,2.385111
"s_u1_4",-.00244196,.01226142,-.199158
"s_u1_5",.0408153,.01969694,2.0721647
"s_v1_1",.0272974,.0089587,3.0470282
"s_v1_2",.02640412,.00796915,3.3132933
"s_v1_3",.01460622,.00987379,1.4792912
"s_v1_4",.04998974,.0136488,3.6625725
"s_v1_5",.03774179,.01022156,3.6923708
"s_u2_1",.02565146,.01401576,1.8301863
"s_u2_2",.00526449,.01014004,.51917783
"s_u2_3",.01572811,.01067537,1.4733077
"s_u2_4",.01107067,.00875267,1.2648335
"s_u2_5",-.01914637,.01345667,-1.4228166
"s_v2_1",.04423838,.01189411,3.7193528
"s_v2_2",.04465066,.01030928,4.3311134
"s_v2_3",.0245488,.00688521,3.5654387
"s_v2_4",.03235086,.00736856,4.3903915
"s_v2_5",.05055829,.014422,3.5056374
"r_u1u2_1",.01240216,.00651009,1.9050673
"r_u1u2_2",.00601895,.00576387,1.0442547
"r_u1u2_3",.00072358,.00601343,.12032803
"r_u1u2_4",.00201979,.00473957,.42615453
"r_u1u2_5",.01164637,.00563886,2.0653754
"r_v1v2_1",-.00076812,.00673868,-.11398701
"r_v1v2_2",.00182998,.00456323,.40102794
"r_v1v2_3",.00508388,.00355669,1.4293849
"r_v1v2_4",.00720669,.00396919,1.8156559
"r_v1v2_5",.00016963,.00547872,.03096218
"r_u1",0,,
"r_u2",0,,
"r_v1",0,,
"r_v2",0,,
"s_omega",.03323274,.00165367,20.096309
"observations",7295,,
