_varname,point_estimate,se_iqr
"mean_k1",-.14788191,.06320469
"mean_k2",-.03006529,.05860035
"mean_k3",.34138439,.06117563
"mean_k4",.20149199,.03180832
"mean_k5",1.5944024,.13108027
"mean_k6",.10387938,.05892476
"mean_k7",.89704648,.08681499
"mean_k8",-.22616141,.03378079
"mean_k9",.21181329,.11805717
"mean_k10",1.8704427,.20575818
"mean_k11",-.78303338,.1069083
"mean_k12",1.3996071,.09078693
"eta_c_p",.37164937,.11799171
"pi",.13912149,.0038112
"beta",0,0
"eta_h1_w1",.5944024,.13108027
"eta_h2_w2",.87044273,.20575818
"eta_c_w1",-.14788191,.06320469
"eta_h1_p",.08506343,.03579883
"eta_c_w2",-.03006529,.05860035
"eta_h2_p",.03526283,.06872173
"eta_h1_w2",.10387938,.05892476
"eta_h2_w1",.21181329,.11805717
"s_report",.70882349,.01177629
"s_u1_1",.04310637,.01126243
"s_u1_2",.01631862,.01158645
"s_u1_3",.03637423,.01568591
"s_u1_4",-.00244196,.01219554
"s_u1_5",.0408153,.01632543
"s_v1_1",.0272974,.00729256
"s_v1_2",.02640412,.00799901
"s_v1_3",.01460622,.01018232
"s_v1_4",.04998974,.01261248
"s_v1_5",.03774179,.01089274
"s_u2_1",.02565146,.01308238
"s_u2_2",.00526449,.00956762
"s_u2_3",.01572811,.01095723
"s_u2_4",.01107067,.00853424
"s_u2_5",-.01914637,.01275355
"s_v2_1",.04423838,.01062201
"s_v2_2",.04465066,.00863073
"s_v2_3",.0245488,.00812674
"s_v2_4",.03235086,.00690187
"s_v2_5",.05055829,.0133696
"r_u1u2_1",.01240216,.00692183
"r_u1u2_2",.00601895,.00594635
"r_u1u2_3",.00072358,.00606361
"r_u1u2_4",.00201979,.0051739
"r_u1u2_5",.01164637,.00588963
"r_v1v2_1",-.00076812,.0066985
"r_v1v2_2",.00182998,.00472916
"r_v1v2_3",.00508388,.00334467
"r_v1v2_4",.00720669,.00355855
"r_v1v2_5",.00016963,.00522582
"r_u1",0,0
"r_u2",0,0
"r_v1",0,0
"r_v2",0,0
"s_omega",.03323274,.00201465
"observations",7295,
